# id	left	top	right	bottom	texture_id
[SPRITES]
22001	548	214	555	221	20
22002	557	214	564	221	20
22003	566	214	573	221	20
22004	575	214	582	221	20
22005	584	214	591	221	20
22006	593	214	600	221	20
22007	602	214	609	221	20
22008	611	214	618	221	20
22009	620	214	627	221	20

22010	548	223	555	230	20
22011	557	223	564	230	20
22012	566	223	573	230	20
22013	575	223	582	230	20
22014	584	223	591	230	20
22015	593	223	600	230	20
22016	602	223	609	230	20
22017	611	223	618	230	20
22018	620	223	627	230	20

22019	548	232	555	239	20
22020	557	232	564	239	20
22021	566	232	573	239	20
22022	575	232	582	239	20
22023	584	232	591	239	20
22024	593	232	600	239	20
22025	602	232	609	239	20
22026	611	232	618	239	20
22027	620	232	627	239	20

22028	548	241	555	248	20
22029	557	241	564	248	20
22030	566	241	573	248	20
22031	575	241	582	248	20
22032	584	241	591	248	20
22033	593	241	600	248	20
22034	602	241	609	248	20
22035	611	241	618	248	20
22036	620	241	627	248	20

22037	763	770	854	777	20
22038	763	782	774	789	20
22039	834	784	855	791	20

23001	400	797	1401	840	20

# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
